country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent
Afghanistan,0,0,8.5,0.0,Asia
Bangladesh,0,0,0.0,0.0,Asia
Iceland,233,61,78.0,6.6,Europe
Niger,3,2,1.0,0.1,Africa
Uruguay,115,35,220.0,6.6,South America
Fiji,77,35,1.0,2.0,Oceania
Vietnam,111,2,1.0,2.0,Asia
Niue,188,200,7.0,7.0,Oceania
Denmark,224,81,278.0,10.4,Europe
Hungary,234,215,185.0,11.3,Europe
Latvia,281,216,62.0,10.5,Europe
Togo,36,2,19.0,1.3,Africa
Slovakia,196,293,116.0,11.4,Europe
Guinea,9,0,2.0,0.2,Africa
Haiti,1,326,1.0,5.9,North America
South Korea,140,16,9.0,9.8,Asia
United Kingdom,219,126,195.0,10.4,Europe
Lithuania,343,244,56.0,12.9,Europe
Liberia,19,152,2.0,3.1,Africa
Suriname,128,178,7.0,5.6,South America
Yemen,6,0,0.0,0.1,Asia
Peru,163,160,21.0,6.1,South America
Equatorial Guinea,92,0,233.0,5.8,Africa
Jamaica,82,97,9.0,3.4,North America
Ethiopia,20,3,0.0,0.7,Africa
Azerbaijan,21,46,5.0,1.3,Europe
Ukraine,206,237,45.0,8.9,Europe
USA,249,158,84.0,8.7,North America
Kenya,58,22,2.0,1.8,Africa
Gambia,8,0,1.0,2.4,Africa
Algeria,25,0,14.0,0.7,Africa
Oman,22,16,1.0,0.7,Asia
Timor-Leste,1,1,4.0,0.1,Asia
Nigeria,42,5,2.0,9.1,Africa
Nicaragua,78,118,1.0,3.5,North America
Tajikistan,2,15,0.0,0.3,Asia
Vanuatu,21,18,11.0,0.9,Oceania
Libya,0,0,0.0,0.0,Africa
Guinea-Bissau,28,31,21.0,2.5,Africa
Myanmar,5,1,0.0,0.1,Asia
Iran,0,0,0.0,0.0,Asia
St. Vincent & the Grenadines,120,221,11.0,6.3,North America
Nepal,5,6,0.0,0.2,Asia
Brunei,31,2,1.0,0.6,Asia
Cyprus,192,154,113.0,8.2,Europe
Malta,149,100,120.0,6.6,Europe
United Arab Emirates,16,135,5.0,2.8,Asia
Papua New Guinea,44,39,1.0,1.5,Oceania
Central African Republic,17,2,1.0,1.8,Africa
St. Kitts & Nevis,194,205,32.0,7.7,North America
Marshall Islands,0,0,0.0,0.0,Oceania
Ireland,313,118,165.0,11.4,Europe
Rwanda,43,2,0.0,6.8,Africa
Lesotho,82,29,0.0,2.8,Africa
Sierra Leone,25,3,2.0,6.7,Africa
Bosnia-Herzegovina,76,173,8.0,4.6,Europe
Austria,279,75,191.0,9.7,Europe
Bahamas,122,176,51.0,6.3,North America
Madagascar,26,15,4.0,0.8,Africa
El Salvador,52,69,2.0,2.2,North America
Dominica,52,286,26.0,6.6,North America
Mauritania,0,0,0.0,0.0,Africa
Kuwait,0,0,0.0,0.0,Asia
Jordan,6,21,1.0,0.5,Asia
Uganda,45,9,0.0,8.3,Africa
Estonia,224,194,59.0,9.5,Europe
Chile,130,124,172.0,7.6,South America
Gabon,347,98,59.0,8.9,Africa
San Marino,0,0,0.0,0.0,Europe
Switzerland,185,100,280.0,10.2,Europe
Cook Islands,0,254,74.0,5.9,Oceania
Italy,85,42,237.0,6.5,Europe
Sudan,8,13,0.0,1.7,Africa
Botswana,173,35,35.0,5.4,Africa
Honduras,69,98,2.0,3.0,North America
Malaysia,13,4,0.0,0.3,Asia
Romania,297,122,167.0,10.4,Europe
Singapore,60,12,11.0,1.5,Asia
St. Lucia,171,315,71.0,10.1,North America
Bahrain,42,63,7.0,2.0,Asia
Angola,217,57,45.0,5.9,Africa
Ghana,31,3,10.0,1.8,Africa
Chad,15,1,1.0,0.4,Africa
Trinidad & Tobago,197,156,7.0,6.4,North America
Zimbabwe,64,18,4.0,4.7,Africa
Zambia,32,19,4.0,2.5,Africa
Croatia,230,87,254.0,10.2,Europe
Spain,284,157,112.0,10.0,Europe
Mexico,238,68,5.0,5.5,North America
Armenia,21,179,11.0,3.8,Europe
Eritrea,18,0,0.0,0.5,Africa
Guyana,93,302,1.0,7.1,South America
Cambodia,57,65,1.0,2.2,Asia
Somalia,0,0,0.0,0.0,Africa
Cuba,93,137,5.0,4.2,North America
Malawi,8,11,1.0,1.5,Africa
Barbados,143,173,36.0,6.3,North America
Mongolia,77,189,8.0,4.9,Asia
Montenegro,31,114,128.0,4.9,Europe
Namibia,376,3,1.0,6.8,Africa
Finland,263,133,97.0,10.0,Europe
Germany,346,117,175.0,11.3,Europe
India,9,114,0.0,2.2,Asia
Dominican Republic,193,147,9.0,6.2,North America
Belize,263,114,8.0,6.8,North America
Mali,5,1,1.0,0.6,Africa
